action_saturation_rate_mean,action_saturation_rate_std,episode_reward_mean,episode_reward_std,episodes,final_tracking_error_m_mean,final_tracking_error_m_std,max_tracking_error_m_mean,max_tracking_error_m_std,mean_action_norm_mean,mean_action_norm_std,mean_tracking_error_m_mean,mean_tracking_error_m_std,rms_tracking_error_m_mean,rms_tracking_error_m_std,step_label,success_rate_mean,success_rate_std
0.0,0.0,-2621.1047604901237,0.0,2,0.27892498779296876,0.0,0.40097616577148437,0.0,0.0006539449531119317,0.0,0.3313745944417318,0.0,0.33530410750098777,0.0,step_0,0.0,0.0
0.0,0.0,-2620.371756879088,0.0,2,0.2782342224121094,0.0,0.4012900695800781,0.0,0.012860581894405186,0.0,0.3313084664357503,0.0,0.33524049535252937,0.0,step_6000,0.0,0.0
0.0,0.0,-506.57904939476924,0.0,2,0.08579155731201171,0.0,0.2004578857421875,0.0,0.6894530688126882,0.0,0.09709371180788676,0.0,0.10178822563293322,0.0,step_12000,0.0,0.0
0.136,0.0,-528.0410063761359,0.0,2,0.13031198120117188,0.0,0.38353298950195314,0.0,1.0723651339610418,0.0,0.09892300799973805,0.0,0.10847196327015801,0.0,step_18000,0.0016666666666666668,0.0
0.025666666666666667,0.0,-254.18591343613008,0.0,2,0.03556871032714844,0.0,0.19922930908203124,0.0,0.6780754568399862,0.0,0.059768700682481135,0.0,0.06670177078796151,0.0,step_24000,0.06666666666666667,0.0
0.025666666666666667,0.0,-254.18591343613008,0.0,2,0.03556871032714844,0.0,0.19922930908203124,0.0,0.6780754568399862,0.0,0.059768700682481135,0.0,0.06670177078796151,0.0,final,0.06666666666666667,0.0
