label,mean_tracking_error_m,rms_tracking_error_m,max_tracking_error_m,final_tracking_error_m,success_rate
legacy_direct_torque,0.2000769183343649,0.21783327085222937,0.44940522766113283,0.1600109100341797,0.0125
improved_residual_pd,0.05048240450769663,0.05972232357814933,0.11515994834899901,0.03046526336669922,0.1975
