action_saturation_rate,actor_loss,alpha,alpha_loss,critic1_loss,critic2_loss,episode,episode_reward,episode_steps,final_dq_abs_max,final_q_abs_max,final_tracking_error_m,log_pi_mean,max_tracking_error_m,mean_action_norm,mean_tracking_error_m,q1_mean,q2_mean,q_mean,replay_size,rms_tracking_error_m,success_rate,target_q_mean,total_steps
0.02,-0.13091391324996948,0.19993998110294342,-4.067836761474609,0.6877349615097046,0.8005472421646118,0,151.76095621312342,200,0.7216115195336272,2.2337344965781707,0.007836574077606202,-0.5274893045425415,0.011850111961364746,0.7659611533675342,0.005528832584619522,0.062158115208148956,-0.006785364355891943,0.0254160538315773,200,0.0060485322185219285,1.0,0.8706007599830627,200
0.0125,-2.0123114585876465,0.18792691826820374,-5.691030502319336,0.03982759267091751,0.03913982957601547,1,139.27901369022482,200,0.7670569440827433,2.6763589925853415,0.008149042129516601,-1.4049546718597412,0.01398343276977539,0.7756994046457112,0.00697820295765996,1.7474346160888672,1.7457427978515625,1.7482020854949951,400,0.007603040548745467,1.0,1.736783742904663,400
0.005,-2.2693848609924316,0.17690129578113556,-5.822062015533447,0.2554548978805542,0.27355414628982544,2,-23.970497080709546,200,1.2539982398507437,2.0616202885175063,0.004932446479797363,-1.3617346286773682,0.04341787338256836,0.7714334224909544,0.0160699984537065,2.050675868988037,2.04227352142334,2.0284199714660645,600,0.01961966786759245,0.65,1.9898055791854858,600
0.0075,-2.570800542831421,0.1665661782026291,-5.944342613220215,0.5912948846817017,0.5755313038825989,3,-108.10735887457345,200,1.4787388140361464,2.1442874566009946,0.01566257381439209,-1.3170347213745117,0.05873500442504883,0.7310812876373529,0.020390159517526624,2.3950557708740234,2.3711750507354736,2.3513617515563965,800,0.023124133022165597,0.495,2.438398838043213,800
0.0075,-2.5024595260620117,0.15695257484912872,-5.951076984405518,0.553584098815918,0.5537132620811462,4,-71.53731054340493,200,0.4734066969121411,2.00838830496204,0.01500017261505127,-1.2141551971435547,0.056591583251953126,0.7606845265626907,0.01928371059678495,2.339862823486328,2.3539583683013916,2.3118395805358887,1000,0.023156849317533836,0.565,2.2828078269958496,1000
0.0075,-3.303004264831543,0.14795859158039093,-6.040678024291992,0.3618496358394623,0.4111410975456238,5,-28.857658793201548,200,0.8518159493730377,2.2597481968228865,0.0033288092613220216,-1.1617794036865234,0.05085966491699219,0.7082534758001566,0.015931589682213965,3.076558828353882,3.068824291229248,3.131058931350708,1200,0.01945213108731816,0.765,2.980069398880005,1200
