action_saturation_rate_mean,action_saturation_rate_std,episode_reward_mean,episode_reward_std,episodes,final_tracking_error_m_mean,final_tracking_error_m_std,max_tracking_error_m_mean,max_tracking_error_m_std,mean_action_norm_mean,mean_action_norm_std,mean_tracking_error_m_mean,mean_tracking_error_m_std,rms_tracking_error_m_mean,rms_tracking_error_m_std,step_label,success_rate_mean,success_rate_std
0.0,0.0,-2572.669668670818,0.0,3,0.27890011596679687,0.0,0.38999987792968743,5.551115123125783e-17,0.0002843141183936192,0.0,0.3264506783703168,0.0,0.33149529356562274,0.0,step_0,0.0023333333333333335,0.0
0.0,0.0,-2542.1510287861656,0.0,5,0.2698897094726562,0.0,0.38883416748046873,0.0,0.05137899172678591,6.938893903907228e-18,0.3235204558517933,0.0,0.3289171447697392,0.0,step_6000,0.0026666666666666666,0.0
0.47333333333333333,0.0,-535.1141374859362,0.0,5,0.13031198120117188,0.0,0.4004212646484375,0.0,1.192839322825273,0.0,0.0997087084578872,0.0,0.10998549776363012,0.0,step_12000,0.004333333333333333,0.0
0.0,0.0,-236.9927294332261,2.842170943040401e-14,5,0.03838331985473633,0.0,0.11461837768554688,0.0,0.6111848634543519,0.0,0.057445281701564786,0.0,0.06218959597911624,0.0,step_15000,0.033,0.0
0.0,0.0,-165.36415397072378,0.0,5,0.024868875503540038,0.0,0.1386505126953125,0.0,0.6059831818218032,0.0,0.04616429679874579,0.0,0.05277532890267676,0.0,step_21000,0.137,0.0
0.012,0.0,-114.15958809685692,0.0,5,0.022179285049438478,0.0,0.1437170104980469,0.0,0.5687944000801072,0.0,0.037689928558508556,0.0,0.048796202349951384,0.0,step_27000,0.4843333333333334,5.551115123125783e-17
0.012833333333333332,1.734723475976807e-18,-76.74243382812371,0.0,5,0.0271917667388916,0.0,0.15981881713867188,0.0,0.4795305643255512,0.0,0.031610642638683316,0.0,0.04448044713635496,0.0,step_30000,0.433,0.0
0.0005,0.0,-207.13218590698654,0.0,5,0.02050710868835449,0.0,0.12983705139160157,0.0,0.4778670847117901,5.551115123125783e-17,0.05177837534101805,6.938893903907228e-18,0.06537485316790782,0.0,step_36000,0.3413333333333333,0.0
0.18416666666666667,0.0,-552.0425943402726,0.0,5,0.13031198120117188,0.0,0.35006390380859376,0.0,0.9097973749053974,1.1102230246251565e-16,0.10057987177968024,1.3877787807814457e-17,0.11762531118190707,0.0,step_42000,0.126,0.0
0.0,0.0,-40.63256898827682,0.0,5,0.006849277496337891,0.0,0.134600341796875,0.0,0.5037909291870892,0.0,0.026022061285097153,0.0,0.03672072415349747,0.0,step_45000,0.539,0.0
0.0,0.0,-68.70603638595672,0.0,5,0.009860574722290039,0.0,0.14874752807617186,0.0,0.464926966915528,0.0,0.030170449747805795,0.0,0.044792075039733426,0.0,step_51000,0.44466666666666665,0.0
0.0,0.0,-68.70603638595672,0.0,5,0.009860574722290039,0.0,0.14874752807617186,0.0,0.464926966915528,0.0,0.030170449747805795,0.0,0.044792075039733426,0.0,final,0.44466666666666665,0.0
