action_saturation_rate_mean,action_saturation_rate_std,episode_reward_mean,episode_reward_std,episodes,final_tracking_error_m_mean,final_tracking_error_m_std,max_tracking_error_m_mean,max_tracking_error_m_std,mean_action_norm_mean,mean_action_norm_std,mean_tracking_error_m_mean,mean_tracking_error_m_std,rms_tracking_error_m_mean,rms_tracking_error_m_std,step_label,success_rate_mean,success_rate_std
0.0,0.0,-550.3503278431473,357.0199871257718,3,0.014597372213999432,0.008535026296291175,0.0616745745340983,0.02956912514562785,0.0014390684750267408,2.3783364155197535e-05,0.0273570976971421,0.011647179349464458,0.03147054788041994,0.014605841279067073,step_0,0.44555555555555554,0.17133643173448598
0.014833333333333334,0.029251780572585092,7.377461627461296,97.64811288389527,5,0.021346738243103024,0.012323856798721923,0.04223582916259766,0.002733920191647465,0.652428180946891,0.030710970571316824,0.014893465211704374,0.002088417659912173,0.01846949989698917,0.002853733356627387,step_5400,0.736,0.08098422342928553
0.0375,0.035714920629276996,96.62971771209848,84.99722253557954,5,0.01187406816482544,0.0044556011099838476,0.03632821311950684,0.006866096264124532,0.7793633203593393,0.08983207756779457,0.013056747639199099,0.0012651870880958952,0.01532161109912851,0.0019096939420476151,step_10200,0.82,0.06850790708621404
0.04916666666666667,0.034896672875473066,188.52329960742375,68.10174525728785,5,0.013685163021087646,0.0045080726356267215,0.03808174247741699,0.015394502647528365,0.7739089160660904,0.04886652929870467,0.010941470010772348,0.0010923627196737964,0.012915762329475753,0.0012939672066643298,step_15000,0.932,0.028623999254704643
0.025666666666666664,0.017759191673296645,165.90741786045663,115.53831215928159,5,0.021501214981079105,0.015774658227463722,0.03727978897094727,0.015812138296143783,0.7781187109847865,0.0748547215816877,0.012260393022760748,0.0028446442168587114,0.015156105768558772,0.004911411191007389,step_20400,0.8763333333333334,0.08086614454351918
0.014499999999999999,0.015207819626027188,328.83174855087685,82.29884426756247,5,0.009111598587036134,0.004476032452321225,0.02930848922729492,0.011894223349331816,0.7751143291244904,0.05434065952545237,0.008250089262182514,0.0017904797752743746,0.009880702795203889,0.0026433969704354287,step_25200,0.9650000000000001,0.04735210895221271
0.027500000000000004,0.025792979234236936,322.51679111968286,84.27629945949138,5,0.009873878097534181,0.00462395738090153,0.023105807495117186,0.007641940802162236,0.755524371670559,0.04092092480400601,0.008260255652089913,0.0016229357757621546,0.00968281358598393,0.0022482371409616396,step_30000,0.9703333333333333,0.05933333333333332
0.041833333333333333,0.028970291296046332,351.17520236793973,73.33621838411572,5,0.007938634490966798,0.0032372576994479456,0.036083160591125485,0.021561024246659947,0.8305567296172182,0.05728635913751591,0.007883739986697832,0.0014841373026727679,0.009829151089336663,0.0028111051389953317,step_35400,0.9606666666666666,0.04291593850514954
0.024,0.012989311845599144,346.65074669504367,63.56533100736299,5,0.004633268737792969,0.0004393259065258317,0.021224860191345216,0.0034271111764681904,0.8161098447069526,0.03385339333619306,0.007783997660418351,0.0011092508772592206,0.009052506615933325,0.001310883325051936,step_40200,0.9713333333333333,0.03398365620248783
0.053333333333333344,0.02869378562220979,308.6656478679155,94.42580180663155,5,0.005832560396194458,0.0023148344714681653,0.031209369659423825,0.00852374615482674,0.8225717956119528,0.04394999963570287,0.008724366872437297,0.0021162206194933206,0.010810128436905913,0.0034246907806105373,final,0.9366666666666668,0.06254775952999614
