action_saturation_rate_mean,action_saturation_rate_std,episode_reward_mean,episode_reward_std,episodes,final_tracking_error_m_mean,final_tracking_error_m_std,max_tracking_error_m_mean,max_tracking_error_m_std,mean_action_norm_mean,mean_action_norm_std,mean_tracking_error_m_mean,mean_tracking_error_m_std,rms_tracking_error_m_mean,rms_tracking_error_m_std,step_label,success_rate_mean,success_rate_std
0.0,0.0,-2621.1415479082757,0.0,2,0.278920654296875,0.0,0.40104156494140625,0.0,0.0004404680725710932,0.0,0.33137774308268225,0.0,0.33530741123581176,0.0,step_0,0.0,0.0
0.0,0.0,-2600.1625998456234,0.0,2,0.281578125,0.0,0.4017092895507812,0.0,0.03348950101062655,0.0,0.32949789919026695,0.0,0.3334628117319258,0.0,step_6000,0.0,0.0
0.0,0.0,-391.27579370976974,0.0,2,0.06378788375854492,0.0,0.20128659057617188,0.0,0.9258460652828217,0.0,0.08062578757222492,0.0,0.08468313688186735,0.0,step_12000,0.0,0.0
0.001,0.0,-317.7297182364559,0.0,2,0.06127202987670898,0.0,0.2007704315185547,0.0,1.0022279055118561,0.0,0.06993500757726033,0.0,0.07268293789586262,0.0,step_18000,0.0,0.0
0.186,0.0,-361.42047864290026,0.0,2,0.055378288269042966,0.0,0.2007942810058594,0.0,0.9677377871274948,0.0,0.07555957168070475,0.0,0.08361328925897986,0.0,step_24000,0.0,0.0
0.186,0.0,-361.42047864290026,0.0,2,0.055378288269042966,0.0,0.2007942810058594,0.0,0.9677377871274948,0.0,0.07555957168070475,0.0,0.08361328925897986,0.0,final,0.0,0.0
