action_saturation_rate_mean,action_saturation_rate_std,episode_reward_mean,episode_reward_std,episodes,final_tracking_error_m_mean,final_tracking_error_m_std,max_tracking_error_m_mean,max_tracking_error_m_std,mean_action_norm_mean,mean_action_norm_std,mean_tracking_error_m_mean,mean_tracking_error_m_std,rms_tracking_error_m_mean,rms_tracking_error_m_std,step_label,success_rate_mean,success_rate_std
0.0,0.0,-38.22314726104229,23.489279270039063,2,0.02050939655303955,0.005792223930358886,0.03876350975036621,0.010266710281372068,0.15023650467395783,0.00584450103342532,0.016929799639582632,0.0026694135171174997,0.02010210005182768,0.004113116824770814,step_0,0.725,0.030000000000000027
0.0,0.0,-542.8326781404967,363.4932355815293,2,0.10631465816497804,0.08521997928619386,0.1270232048034668,0.06451143264770509,0.16001551169436423,0.057410423723049456,0.06412342091888189,0.03985796574264764,0.07255499843712515,0.046394365811174725,step_600,0.135,0.045
0.0,0.0,-83.50515763819098,90.30896924333294,2,0.0222750244140625,0.0025829544067382804,0.033999932289123534,0.012260619163513183,0.22660485707223416,0.003784036710858335,0.019158992704749106,0.006061343576312064,0.020721434156914506,0.006686475758862007,step_1200,0.6525000000000001,0.2575
0.0,0.0,-200.5628833687378,48.26291188654697,2,0.048074569702148434,0.012389259338378904,0.05033798599243164,0.010125843048095703,0.2382351395394653,0.03670528286136686,0.02905812474310398,0.00104447925746441,0.03273738674694225,0.0010106471953600232,final,0.345,0.15
